iter	Passed	Remaining
0	47	47523
1	48	23964
2	48	16102
3	48	12172
4	49	9815
5	49	8247
6	50	7126
7	50	6289
8	51	5633
9	51	5108
10	52	4678
11	52	4321
12	52	4016
13	53	3760
14	53	3534
15	54	3336
16	54	3162
17	55	3007
18	55	2868
19	55	2742
20	56	2629
21	56	2529
22	57	2436
23	57	2349
24	58	2270
25	58	2197
26	59	2129
27	59	2068
28	60	2011
29	60	1957
30	61	1907
31	61	1859
32	61	1813
33	62	1771
34	62	1731
35	63	1692
36	63	1656
37	64	1622
38	64	1589
39	64	1558
40	65	1529
41	65	1500
42	66	1474
43	66	1448
44	67	1424
45	67	1401
46	67	1378
47	68	1356
48	68	1336
49	69	1316
50	69	1297
51	70	1278
52	70	1260
53	70	1243
54	71	1227
55	71	1211
56	72	1195
57	72	1180
58	73	1166
59	73	1152
60	73	1138
61	74	1125
62	74	1113
63	76	1114
64	76	1102
65	77	1091
66	77	1081
67	78	1069
68	78	1059
69	78	1048
70	79	1038
71	79	1028
72	80	1018
73	80	1009
74	81	999
75	81	990
76	81	981
77	82	973
78	82	965
79	83	956
80	83	948
81	84	940
82	84	930
83	84	923
84	85	916
85	85	913
86	86	906
87	86	901
88	87	895
89	87	888
90	88	882
91	88	876
92	89	869
93	89	863
94	90	857
95	90	852
96	91	847
97	91	841
98	91	835
99	92	830
100	92	824
101	93	820
102	93	814
103	94	809
104	94	805
105	94	799
106	95	794
107	95	790
108	96	786
109	96	780
110	96	775
111	97	772
112	97	767
113	98	763
114	98	759
115	98	754
116	99	749
117	99	745
118	100	742
119	100	738
120	101	734
121	101	729
122	101	725
123	102	721
124	102	717
125	102	713
126	103	709
127	103	706
128	104	703
129	104	699
130	105	697
131	105	694
132	105	690
133	106	686
134	106	683
135	107	680
136	107	677
137	108	674
138	108	672
139	109	669
140	109	667
141	109	662
142	110	659
143	110	656
144	110	653
145	111	650
146	111	647
147	111	644
148	112	640
149	112	638
150	113	636
151	113	634
152	114	631
153	114	629
154	115	627
155	115	625
156	116	623
157	116	620
158	116	617
159	117	614
160	117	611
161	117	608
162	118	605
163	118	603
164	118	600
165	119	598
166	119	595
167	119	593
168	120	591
169	120	589
170	121	587
171	121	585
172	121	582
173	125	596
174	126	594
175	126	591
176	126	589
177	127	587
178	127	584
179	127	582
180	128	580
181	128	577
182	129	576
183	129	574
184	129	572
185	130	570
186	130	569
187	131	567
188	131	565
189	132	564
190	132	562
191	133	559
192	133	557
193	133	555
194	134	553
195	134	551
196	134	549
197	135	547
198	135	545
199	135	543
200	136	542
201	136	540
202	137	539
203	137	537
204	138	536
205	138	534
206	139	533
207	139	532
208	140	530
209	140	529
210	141	527
211	141	525
212	141	523
213	142	522
214	142	520
215	142	518
216	143	516
217	143	514
218	143	512
219	144	511
220	144	509
221	144	507
222	145	506
223	145	504
224	146	503
225	146	502
226	147	501
227	147	499
228	148	498
229	148	497
230	149	496
231	149	494
232	150	493
233	150	492
234	150	491
235	151	490
236	151	488
237	152	487
238	152	485
239	152	484
240	153	482
241	153	481
242	153	479
243	154	477
244	154	476
245	154	474
246	155	473
247	155	472
248	156	470
249	156	469
250	156	467
251	157	466
252	157	464
253	157	463
254	158	462
255	158	460
256	159	460
257	159	459
258	160	458
259	160	457
260	161	456
261	161	455
262	162	454
263	162	453
264	162	451
265	163	450
266	163	449
267	163	447
268	164	446
269	164	445
270	165	443
271	165	442
272	165	441
273	166	439
274	166	438
275	166	437
276	167	436
277	167	435
278	168	434
279	168	433
280	169	432
281	169	431
282	170	430
283	170	429
284	170	428
285	171	428
286	171	427
287	172	426
288	172	425
289	173	424
290	173	423
291	174	422
292	174	421
293	174	419
294	175	418
295	175	417
296	175	416
297	176	415
298	176	414
299	177	414
300	178	413
301	178	412
302	178	411
303	179	410
304	179	408
305	179	407
306	180	406
307	180	405
308	180	404
309	181	403
310	181	402
311	182	401
312	182	400
313	183	400
314	183	399
315	184	398
316	184	398
317	185	397
318	185	396
319	186	395
320	186	394
321	187	394
322	187	393
323	188	392
324	188	391
325	189	391
326	189	390
327	190	389
328	190	388
329	191	387
330	191	387
331	191	386
332	192	385
333	192	384
334	193	383
335	193	382
336	193	381
337	194	380
338	194	379
339	194	378
340	195	377
341	195	376
342	195	375
343	196	374
344	196	373
345	197	373
346	197	372
347	198	371
348	198	370
349	199	369
350	199	369
351	200	368
352	200	367
353	201	366
354	201	366
355	202	365
356	202	364
357	202	363
358	203	362
359	203	362
360	203	361
361	204	360
362	204	359
363	205	358
364	205	357
365	205	356
366	206	355
367	206	354
368	206	353
369	207	352
370	207	351
371	207	351
372	208	350
373	208	349
374	208	348
375	209	347
376	209	346
377	210	345
378	210	344
379	210	344
380	211	343
381	211	342
382	212	342
383	212	341
384	213	340
385	215	343
386	216	342
387	216	342
388	217	341
389	217	340
390	218	340
391	218	339
392	219	338
393	219	338
394	220	337
395	220	336
396	221	335
397	225	341
398	226	340
399	226	339
400	227	339
401	227	338
402	227	337
403	228	336
404	228	336
405	229	335
406	229	334
407	230	333
408	230	332
409	230	332
410	231	331
411	231	330
412	232	329
413	232	329
414	232	328
415	233	327
416	233	326
417	234	326
418	234	325
419	234	324
420	235	323
421	235	322
422	236	322
423	236	321
424	236	320
425	237	319
426	237	319
427	238	318
428	238	317
429	239	317
430	239	316
431	239	315
432	240	314
433	240	313
434	240	313
435	241	312
436	241	311
437	242	311
438	242	310
439	243	309
440	243	308
441	243	307
442	244	307
443	244	306
444	245	305
445	245	305
446	246	304
447	246	303
448	246	303
449	247	302
450	247	301
451	248	301
452	248	300
453	248	299
454	249	298
455	249	297
456	250	297
457	250	296
458	251	296
459	251	295
460	252	295
461	253	295
462	253	294
463	254	293
464	254	292
465	254	292
466	255	291
467	255	290
468	255	289
469	256	289
470	256	288
471	257	287
472	257	287
473	258	286
474	258	285
475	259	285
476	259	284
477	259	283
478	260	283
479	260	282
480	261	281
481	261	281
482	261	280
483	262	279
484	262	278
485	263	278
486	263	277
487	263	276
488	264	276
489	264	275
490	265	275
491	265	274
492	266	273
493	266	273
494	267	272
495	267	272
496	268	271
497	268	270
498	268	269
499	269	269
500	269	268
501	269	267
502	270	267
503	270	266
504	270	265
505	271	264
506	271	264
507	272	263
508	272	262
509	272	262
510	273	261
511	273	261
512	274	260
513	274	260
514	275	259
515	275	258
516	276	258
517	276	257
518	277	256
519	277	256
520	277	255
521	278	254
522	278	254
523	278	253
524	279	252
525	279	251
526	279	251
527	280	250
528	280	249
529	281	249
530	281	248
531	281	247
532	282	247
533	282	246
534	282	245
535	283	245
536	283	244
537	287	247
538	288	246
539	288	246
540	289	245
541	289	244
542	290	244
543	290	243
544	291	243
545	291	242
546	292	241
547	292	241
548	293	240
549	293	240
550	293	239
551	294	238
552	294	238
553	295	237
554	295	237
555	295	236
556	296	235
557	296	235
558	297	234
559	297	233
560	298	233
561	298	232
562	298	232
563	299	231
564	299	230
565	300	230
566	300	229
567	301	228
568	301	228
569	301	227
570	302	227
571	302	226
572	303	225
573	303	225
574	304	224
575	305	225
576	306	224
577	306	223
578	307	223
579	307	222
